pickupOwnerFirstName,pickupOwnerLastName,pickupOwnerStreet,pickupOwnerCity,pickupOwnerState,pickupOwnerPostal,pickupOwnerCountry,pickupOwnerEmail,pickupOwnerPhone,pickupLatitude,pickupLongitude,pickupCategories,pickupAt,pickupTimeZoneId,recipientOwnerFirstName,recipientOwnerLastName,recipientOwnerStreet,recipientOwnerCity,recipientOwnerState,recipientOwnerPostal,recipientOwnerCountry,recipientOwnerEmail,recipientOwnerPhone,recipientLatitude,recipientLongitude,recipientRestrictions,recipientSunday,recipientMonday,recipientTuesday,recipientWednesday,recipientThursday,recipientFriday,recipientSaturday
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Glen,Parr,4126 Larry Street,San Francisco,CA,94124,US,GlenDParr@jourrapide.com,415-200-4930,37.637549,-122.416637,7,10001,14404,20667,43497,19710,51701,40343
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Kristen,Brown,4125 Friendship Lane,San Francisco,CA,94108,US,KristenMBrown@superrito.com,408-607-5735,37.72559,-122.41759,10,52531,51199,20519,8975,3731,57258,60789
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Stephanie,Salas,3231 Wolf Pen Road,San Francisco,CA,94107,US,StephanieJSalas@superrito.com,650-449-3909,37.773484,-122.469794,10,51424,65041,16936,44406,64637,50789,18347
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,James,Davis,4409 Wolf Pen Road,San Francisco,CA,94107,US,JamesBDavis@fleckens.hu,650-392-2779,37.779614,-122.388844,10,128,30738,57129,65308,57186,12390,28771
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Mary,Thomas,302 Station Street,San Francisco,CA,94103,US,MaryMThomas@jourrapide.com,510-870-1254,37.714836,-122.454649,10,31439,28978,45416,44712,29994,8145,48880
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Beth,Pittman,828 Jim Rosa Lane,San Francisco,CA,94143,US,BethAPittman@einrot.com,415-803-8050,37.747961,-122.399628,11,24041,43953,45287,15540,3939,50902,59352
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Michael,Carter,1591 Delaware Avenue,San Francisco,CA,94107,US,MichaelDCarter@gustr.com,415-308-3956,37.78668,-122.429534,12,297,30906,45183,61045,54351,28101,22471
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Palmer,Morales,1769 Wolf Pen Road,San Francisco,CA,94143,US,PalmerAMorales@teleworm.us,650-452-1546,37.821059,-122.462214,15,2727,48249,25889,61978,55248,53691,7773
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Lucille,Gunn,2006 Roosevelt Street,San Francisco,CA,94115,US,LucilleJGunn@superrito.com,415-409-4133,37.703271,-122.4128,15,54578,51070,22439,27200,65461,60008,41993
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Vincent,Byrne,1114 Cemetery Street,San Francisco,CA,94107,US,VincentJByrne@armyspy.com,831-706-3222,37.752835,-122.435669,17,19692,48002,61198,20798,24412,29246,44199
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Geneva,Esposito,3707 Meadow Lane,San Francisco,CA,94108,US,GenevaTEsposito@gustr.com,707-365-2654,37.875867,-122.433903,18,63190,35452,53867,63758,58395,62783,47049
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Carol,Davis,2832 Pretty View Lane,San Francisco,CA,94103,US,CarolJDavis@superrito.com,707-885-2806,37.727628,-122.38885,21,34543,23348,59271,59727,56708,18460,15201
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Manuela,Forster,1128 Wolf Pen Road,San Francisco,CA,94107,US,ManuelaDForster@jourrapide.com,650-362-9859,37.765989,-122.363051,21,51194,50351,33200,40792,17682,12459,18070
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Stacey,Sutton,4701 Davis Avenue,San Francisco,CA,94103,US,StaceyMSutton@gustr.com,707-667-5226,37.68604,-122.435187,21,58095,22057,17242,47611,17606,36896,31592
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Blanche,Vos,4563 Delaware Avenue,San Francisco,CA,94107,US,BlancheMVos@fleckens.hu,415-233-5273,37.685014,-122.431539,29,32845,24701,41331,3585,48931,6316,42633
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,David,Ahrens,3118 Larry Street,San Francisco,CA,94107,US,DavidGAhrens@superrito.com,415-228-3933,37.692432,-122.364535,29,8716,55679,21240,15978,22384,10215,20705
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Linda,Brown,2870 Haul Road,San Francisco,CA,94143,US,LindaEBrown@superrito.com,650-999-3353,37.684163,-122.381578,34,11272,53654,45803,43299,9604,24149,20980
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Helen,Grady,2780 Locust View Drive,San Francisco,CA,94143,US,HelenJGrady@cuvox.de,415-932-3230,37.673607,-122.425487,36,58501,49287,39152,2589,21714,18714,51044
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Chester,Smart,1307 Cemetery Street,San Francisco,CA,94104,US,ChesterMSmart@teleworm.us,831-824-4746,37.859125,-122.454189,39,460,55671,16861,17847,30686,36191,57138
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Charles,Fields,1307 Roosevelt Street,San Francisco,CA,94115,US,CharlesMFields@teleworm.us,415-359-7985,37.78253,-122.476017,40,32097,60189,8001,35754,24448,23423,45687
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Samuel,Loper,200 Harrison Street,San Francisco,CA,94112,US,SamuelVLoper@cuvox.de,415-582-5003,37.659525,-122.473355,41,22058,45687,43495,61936,44217,34969,3720
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Mark,Leonard,2257 Roosevelt Street,San Francisco,CA,94124,US,MarkBLeonard@einrot.com,415-467-8655,37.828826,-122.410512,43,33256,63686,56896,15902,41985,49074,46264
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Myra,Donohoe,2333 Roosevelt Street,San Francisco,CA,94112,US,MyraJDonohoe@rhyta.com,415-405-2246,37.682386,-122.384887,44,11325,44013,11907,19189,32596,43984,19658
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Roderick,Beck,4723 Pretty View Lane,San Francisco,CA,94103,US,RoderickOBeck@armyspy.com,707-922-1209,37.697319,-122.428655,45,27045,10024,27281,4871,50223,11857,13874
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Maria,Allen,3820 Boring Lane,San Francisco,CA,94143,US,MariaRAllen@einrot.com,415-598-4572,37.813672,-122.554826,45,60524,16043,22286,44144,50472,36799,16749
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Nereida,Seely,4822 Rardin Drive,San Francisco,CA,94124,US,NereidaRSeely@gustr.com,650-732-1251,37.767696,-122.477804,46,58814,44859,58909,12278,13342,6861,9948
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Noah,Dent,1757 Harrison Street,San Francisco,CA,94108,US,NoahMDent@rhyta.com,415-544-2936,37.76466,-122.381024,47,25495,29070,831,22043,28019,31761,41780
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Tina,Hursey,730 Clifford Street,San Francisco,CA,94105,US,TinaWHursey@armyspy.com,510-629-2177,37.821961,-122.397985,48,52113,44782,19608,41650,17428,8476,1980
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Alberto,Johnson,1984 Delaware Avenue,San Francisco,CA,94108,US,AlbertoLJohnson@einrot.com,415-244-9566,37.764427,-122.498688,52,44950,60452,37339,31255,5836,30156,59837
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Joshua,Novick,3869 Wayside Lane,San Francisco,CA,94108,US,JoshuaSNovick@gustr.com,510-303-7800,37.733858,-122.502893,53,47803,15448,26806,46191,13669,37053,41018
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Colby,Nino,4510 Delaware Avenue,San Francisco,CA,94104,US,ColbyGNino@gustr.com,415-276-7568,37.805498,-122.485115,58,41943,4557,13468,63701,15949,6677,35953
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Johnny,Schutt,4300 Boring Lane,San Francisco,CA,94110,US,JohnnyJSchutt@gustr.com,415-647-1106,37.67378,-122.403736,58,38421,41297,7429,50784,36863,41054,18959
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Charlene,Slade,1535 Locust View Drive,San Francisco,CA,94107,US,CharleneBSlade@fleckens.hu,415-997-1282,37.756303,-122.37812,60,34848,57459,42902,18419,9622,51412,37029
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,Hazel,Pledger,4533 Hillview Drive,San Francisco,CA,94103,US,HazelBPledger@armyspy.com,707-216-2050,37.747225,-122.501067,60,40000,19151,7179,10558,65373,52787,46252
Jaime,Archey,1411 Jim Rosa Lane,San Francisco,CA,94118,US,JaimeAArchey@armyspy.com,415-752-9466,37.748954,37.748954,19,Thu Nov 03 19:00:00 MDT 2016,America/Los_Angeles,James,Pitts,4312 Alexander Avenue,San Francisco,CA,94111,US,JamesFPitts@cuvox.de,925-573-5318,37.727542,-122.402876,61,43859,23301,53141,53343,32308,24869,42655
Candice,Manning,231 Thunder Road,San Francisco,CA,94143,US,CandiceJManning@dayrep.com,650-478-8428,37.801985,37.801985,37,Sun Nov 06 11:00:00 MST 2016,America/Los_Angeles,David,Austin,4164 Roosevelt Street,San Francisco,CA,94108,US,DavidMAustin@superrito.com,415-434-0591,37.724295,-122.351623,0,45943,26253,65344,53784,56325,41518,12856
Candice,Manning,231 Thunder Road,San Francisco,CA,94143,US,CandiceJManning@dayrep.com,650-478-8428,37.801985,37.801985,37,Sun Nov 06 11:00:00 MST 2016,America/Los_Angeles,Mariana,Summers,4991 Locust View Drive,San Francisco,CA,94108,US,MarianaJSummers@einrot.com,415-954-6888,37.840196,-122.472547,0,63406,5288,38197,50711,18735,14071,33556
Candice,Manning,231 Thunder Road,San Francisco,CA,94143,US,CandiceJManning@dayrep.com,650-478-8428,37.801985,37.801985,37,Sun Nov 06 11:00:00 MST 2016,America/Los_Angeles,Latisha,Brawley,3054 Boring Lane,San Francisco,CA,94105,US,LatishaBBrawley@rhyta.com,415-680-0530,37.732403,-122.321531,1,12356,63704,2878,35488,49586,20598,7261
Candice,Manning,231 Thunder Road,San Francisco,CA,94143,US,CandiceJManning@dayrep.com,650-478-8428,37.801985,37.801985,37,Sun Nov 06 11:00:00 MST 2016,America/Los_Angeles,Carol,Payne,484 Ella Street,San Francisco,CA,94107,US,CarolTPayne@gustr.com,650-297-9398,37.769981,-122.350975,2,30335,22882,19101,56170,36300,40347,63077
Candice,Manning,231 Thunder Road,San Francisco,CA,94143,US,CandiceJManning@dayrep.com,650-478-8428,37.801985,37.801985,37,Sun Nov 06 11:00:00 MST 2016,America/Los_Angeles,Marion,Garland,4233 Ella Street,San Francisco,CA,94108,US,MarionPGarland@rhyta.com,650-296-9860,37.778354,-122.333066,2,60223,15812,59138,21972,42024,28056,22549
Candice,Manning,231 Thunder Road,San Francisco,CA,94143,US,CandiceJManning@dayrep.com,650-478-8428,37.801985,37.801985,37,Sun Nov 06 11:00:00 MST 2016,America/Los_Angeles,Christopher,Armer,3421 Duck Creek Road,San Francisco,CA,94108,US,ChristopherMArmer@armyspy.com,650-766-1028,37.780068,-122.450153,3,48285,39118,8451,29064,2082,52236,40408
Candice,Manning,231 Thunder Road,San Francisco,CA,94143,US,CandiceJManning@dayrep.com,650-478-8428,37.801985,37.801985,37,Sun Nov 06 11:00:00 MST 2016,America/Los_Angeles,Gertrude,Duprey,3391 Lindale Avenue,San Francisco,CA,94107,US,GertrudeLDuprey@superrito.com,510-542-0544,37.846828,-122.297586,3,19509,57232,26678,37234,55949,22872,31726
Candice,Manning,231 Thunder Road,San Francisco,CA,94143,US,CandiceJManning@dayrep.com,650-478-8428,37.801985,37.801985,37,Sun Nov 06 11:00:00 MST 2016,America/Los_Angeles,Reggie,Hunter,3041 Boring Lane,San Francisco,CA,94107,US,ReggieTHunter@einrot.com,415-737-1680,37.815249,-122.366953,4,42902,22549,13450,58322,56688,23777,30538
Candice,Manning,231 Thunder Road,San Francisco,CA,94143,US,CandiceJManning@dayrep.com,650-478-8428,37.801985,37.801985,37,Sun Nov 06 11:00:00 MST 2016,America/Los_Angeles,Amy,Doyle,4916 Duck Creek Road,San Francisco,CA,94108,US,AmyJDoyle@superrito.com,650-862-7394,37.777973,-122.396762,4,25807,3165,34551,21607,34771,61855,45188
Candice,Manning,231 Thunder Road,San Francisco,CA,94143,US,CandiceJManning@dayrep.com,650-478-8428,37.801985,37.801985,37,Sun Nov 06 11:00:00 MST 2016,America/Los_Angeles,Beverly,Caldwell,4352 Harrison Street,San Francisco,CA,94107,US,BeverlyJCaldwell@gustr.com,415-531-7726,37.731712,-122.451843,6,57140,53437,12793,63867,10267,43490,12159
Candice,Manning,231 Thunder Road,San Francisco,CA,94143,US,CandiceJManning@dayrep.com,650-478-8428,37.801985,37.801985,37,Sun Nov 06 11:00:00 MST 2016,America/Los_Angeles,Roger,Stewart,437 Locust View Drive,San Francisco,CA,94143,US,RogerSStewart@superrito.com,415-894-9159,37.820849,-122.463945,7,35999,55577,43824,24563,37453,35693,29101
Candice,Manning,231 Thunder Road,San Francisco,CA,94143,US,CandiceJManning@dayrep.com,650-478-8428,37.801985,37.801985,37,Sun Nov 06 11:00:00 MST 2016,America/Los_Angeles,Mary,Thomas,302 Station Street,San Francisco,CA,94103,US,MaryMThomas@jourrapide.com,510-870-1254,37.714836,-122.454649,10,31439,28978,45416,44712,29994,8145,48880
Candice,Manning,231 Thunder Road,San Francisco,CA,94143,US,CandiceJManning@dayrep.com,650-478-8428,37.801985,37.801985,37,Sun Nov 06 11:00:00 MST 2016,America/Los_Angeles,Palmer,Morales,1769 Wolf Pen Road,San Francisco,CA,94143,US,PalmerAMorales@teleworm.us,650-452-1546,37.821059,-122.462214,15,2727,48249,25889,61978,55248,53691,7773
Candice,Manning,231 Thunder Road,San Francisco,CA,94143,US,CandiceJManning@dayrep.com,650-478-8428,37.801985,37.801985,37,Sun Nov 06 11:00:00 MST 2016,America/Los_Angeles,David,Farnsworth,3824 Rose Street,San Francisco,CA,94103,US,DavidLFarnsworth@cuvox.de,707-988-1568,37.747542,-122.39851,15,3222,10431,9821,52945,35790,22274,41395
Candice,Manning,231 Thunder Road,San Francisco,CA,94143,US,CandiceJManning@dayrep.com,650-478-8428,37.801985,37.801985,37,Sun Nov 06 11:00:00 MST 2016,America/Los_Angeles,Robert,Tripp,2250 Haul Road,San Francisco,CA,94104,US,RobertKTripp@rhyta.com,650-946-1913,37.798826,-122.337126,16,16142,44743,38814,12600,45813,10120,520
Candice,Manning,231 Thunder Road,San Francisco,CA,94143,US,CandiceJManning@dayrep.com,650-478-8428,37.801985,37.801985,37,Sun Nov 06 11:00:00 MST 2016,America/Los_Angeles,Vincent,Byrne,1114 Cemetery Street,San Francisco,CA,94107,US,VincentJByrne@armyspy.com,831-706-3222,37.752835,-122.435669,17,19692,48002,61198,20798,24412,29246,44199
Candice,Manning,231 Thunder Road,San Francisco,CA,94143,US,CandiceJManning@dayrep.com,650-478-8428,37.801985,37.801985,37,Sun Nov 06 11:00:00 MST 2016,America/Los_Angeles,Vicki,Smith,2653 Rardin Drive,San Francisco,CA,94107,US,VickiNSmith@rhyta.com,650-722-6966,37.77166,-122.422537,18,64070,21660,49650,32189,8770,54901,65307
Candice,Manning,231 Thunder Road,San Francisco,CA,94143,US,CandiceJManning@dayrep.com,650-478-8428,37.801985,37.801985,37,Sun Nov 06 11:00:00 MST 2016,America/Los_Angeles,Geneva,Esposito,3707 Meadow Lane,San Francisco,CA,94108,US,GenevaTEsposito@gustr.com,707-365-2654,37.875867,-122.433903,18,63190,35452,53867,63758,58395,62783,47049
Candice,Manning,231 Thunder Road,San Francisco,CA,94143,US,CandiceJManning@dayrep.com,650-478-8428,37.801985,37.801985,37,Sun Nov 06 11:00:00 MST 2016,America/Los_Angeles,Melodie,Upson,204 Lindale Avenue,San Francisco,CA,94105,US,MelodieDUpson@jourrapide.com,510-485-8547,37.689881,-122.450463,21,57022,37575,28572,22837,22566,64135,36619
Candice,Manning,231 Thunder Road,San Francisco,CA,94143,US,CandiceJManning@dayrep.com,650-478-8428,37.801985,37.801985,37,Sun Nov 06 11:00:00 MST 2016,America/Los_Angeles,Carol,Davis,2832 Pretty View Lane,San Francisco,CA,94103,US,CarolJDavis@superrito.com,707-885-2806,37.727628,-122.38885,21,34543,23348,59271,59727,56708,18460,15201
Candice,Manning,231 Thunder Road,San Francisco,CA,94143,US,CandiceJManning@dayrep.com,650-478-8428,37.801985,37.801985,37,Sun Nov 06 11:00:00 MST 2016,America/Los_Angeles,Janet,Hardison,1235 Roosevelt Street,San Francisco,CA,94103,US,JanetDHardison@einrot.com,415-462-8764,37.856242,-122.463519,21,1548,56431,57624,41432,35225,40400,37806
Candice,Manning,231 Thunder Road,San Francisco,CA,94143,US,CandiceJManning@dayrep.com,650-478-8428,37.801985,37.801985,37,Sun Nov 06 11:00:00 MST 2016,America/Los_Angeles,Stacey,Sutton,4701 Davis Avenue,San Francisco,CA,94103,US,StaceyMSutton@gustr.com,707-667-5226,37.68604,-122.435187,21,58095,22057,17242,47611,17606,36896,31592
Candice,Manning,231 Thunder Road,San Francisco,CA,94143,US,CandiceJManning@dayrep.com,650-478-8428,37.801985,37.801985,37,Sun Nov 06 11:00:00 MST 2016,America/Los_Angeles,Loren,May,842 Sycamore Street,San Francisco,CA,94107,US,LorenJMay@armyspy.com,408-849-9471,37.760203,-122.484073,23,59791,15481,24937,14785,10336,32164,56676
Candice,Manning,231 Thunder Road,San Francisco,CA,94143,US,CandiceJManning@dayrep.com,650-478-8428,37.801985,37.801985,37,Sun Nov 06 11:00:00 MST 2016,America/Los_Angeles,Jeffrey,Vuong,1481 Boring Lane,San Francisco,CA,94108,US,JeffreyKVuong@armyspy.com,415-733-2346,37.888261,-122.499762,24,22909,34275,39610,6712,57445,332,50148
